"","Date","Time","Latitude (deg)","Longitude (deg)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total radiated Energy (J)","Total Impact Energy (kt)"
"200",2019-05-12,"22:41:48",6.2,-57.1,NA,NA,NA,NA,NA,2.1e+10,0.076
"201",2019-05-04,"15:35:46",28.4,-88.3,26.5,NA,NA,NA,NA,2.2e+10,0.079
"202",2019-04-22,"21:42:11",-48.8,67.8,33.3,11.4,3.4,-4.2,10,1.24e+11,0.37
"203",2019-04-14,"17:54:33",18.3,-74.6,30.6,15.9,-2.5,5.9,-14.6,2.9e+10,0.1
"204",2019-04-06,"11:59:09",56.5,94.9,41.5,18.1,6.2,11.1,-12.9,7e+10,0.22
"205",2019-04-04,"22:19:01",35.3,-93.9,NA,NA,NA,NA,NA,2.8e+10,0.098
"206",2019-03-27,"12:50:34",-41.8,-7.4,NA,NA,NA,NA,NA,2.2e+10,0.079
"207",2019-03-19,"02:06:39",-24,140.3,28.7,16.2,10.2,0.4,12.6,2e+10,0.073
"208",2019-03-15,"12:26:56",63.7,95.7,31.5,14.4,5.4,-13.2,1.7,4.6e+10,0.15
"209",2019-02-18,"10:00:43",-15.5,25.3,26,20.8,-16.6,-12.6,0.6,1.958e+12,4.2
"210",2019-02-01,"18:17:10",22.5,-83.8,23.7,16.3,-2.4,13.6,8.7,5.79e+11,1.4
"211",2019-01-29,"20:47:20",NA,NA,NA,NA,NA,NA,NA,2.5e+10,0.089
"212",2019-01-22,"09:18:01",18,6.5,42.5,11.6,-8.6,-5.9,5,3.6e+10,0.12
"213",2018-12-23,"23:38:03",-47.5,-174.4,31.8,16.5,9.9,7.6,10.8,8.9e+10,0.27
"214",2018-12-18,"23:48:20",56.9,172.4,26,13.6,6.3,-3,-31.2,3.13e+13,49
"215",2018-11-20,"17:30:28",25.3,-6.7,27.4,17.4,-10.1,13.9,3,4.22e+11,1.1
"216",2018-11-17,"21:48:24",47.3,-172.9,32.5,19.1,7.6,17.3,-2.7,2.2e+11,0.61
"217",2018-11-15,"08:02:44",42,-57,NA,NA,NA,NA,NA,2e+10,0.073
"218",2018-11-14,"04:03:47",-37.6,83.5,37,NA,NA,NA,NA,3.8e+10,0.13
"219",2018-10-24,"21:19:07",-6.7,-148.6,33.3,NA,NA,NA,NA,4.7e+10,0.16
"220",2018-10-22,"07:11:03",NA,NA,NA,NA,NA,NA,NA,2.6e+10,0.092
"221",2018-10-05,"00:27:04",-39.8,-31.7,31.5,14.7,-13.2,-6.5,-0.4,3.8e+10,0.13
"222",2018-09-25,"14:10:33",-23.5,56.8,33,16.5,-16.2,2.8,0.6,8.06e+11,1.9
"223",2018-09-25,"00:16:59",-34.3,44.9,40.7,12.5,-11,2.5,-5.5,5.3e+10,0.17
"224",2018-09-20,"18:29:03",-67.3,75.1,NA,11.1,-5.6,-7.9,5.5,8.3e+10,0.26
"225",2018-09-17,"01:08:02",-6.8,-27.8,NA,NA,NA,NA,NA,1.5e+11,0.43
"226",2018-09-13,"00:51:21",42.5,-50.1,NA,NA,NA,NA,NA,4.2e+10,0.14
"227",2018-08-27,"04:36:45",-1.7,141.4,33,16.1,9.8,-9.6,-8.4,2.4e+10,0.086
"228",2018-08-21,"12:26:14",-39.2,-162.9,37,NA,NA,NA,NA,2.2e+10,0.079
"229",2018-07-27,"09:35:14",-58.8,105.8,32,NA,NA,NA,NA,1.05e+11,0.32
"230",2018-07-25,"21:55:26",76.9,-69,43.3,24.4,20.4,12.9,-3.8,8.77e+11,2.1
"231",2018-07-17,"15:17:37",82.5,-136.7,NA,NA,NA,NA,NA,2.11e+11,0.59
"232",2018-06-26,"17:51:53",32,12.1,63,14.1,-10,-1,-9.9,2.9e+10,0.1
"233",2018-06-21,"01:16:20",52.8,38.1,27.2,14.4,-8.9,-4.3,-10.5,1.224e+12,2.8
"234",2018-06-02,"16:44:12",-21.2,23.3,28.7,16.9,0.9,-16.4,3.9,3.75e+11,0.98
"235",2018-05-12,"03:26:46",-6.5,173.7,34,NA,NA,NA,NA,1.93e+11,0.54
"236",2018-05-08,"02:27:13",32,-60.7,NA,NA,NA,NA,NA,7.3e+10,0.23
"237",2018-05-03,"07:23:59",46.9,-7.5,39,11.5,1.3,-2.1,-11.2,3.8e+10,0.13
"238",2018-04-30,"13:17:57",-45.5,-1.4,34,13.1,8.7,-9.5,2.5,3e+10,0.1
